MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method	ProjectID
4570257.3	ELA7ASaliva_Reads	"147,763,940"	"670,284"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570258.3	ELA7BSaliva_Reads	"125,059,854"	"572,484"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570259.3	ELA7CSaliva_Reads	"119,024,819"	"553,548"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570260.3	ELA8ASaliva_Reads	"123,363,382"	"568,636"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570261.3	ELA8BSaliva_Reads	"137,875,375"	"637,037"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570262.3	ELA8CSaliva_Reads	"104,406,369"	"482,229"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570263.3	ELA9ASaliva_Reads	"95,549,414"	"434,613"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570264.3	ELA9BSaliva_Reads	"107,253,500"	"518,883"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570265.3	ELA9CSaliva_Reads	"90,392,360"	"433,965"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570248.3	ELA33ASaliva_Reads	"99,373,775"	"487,584"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570249.3	ELA33BSaliva_Reads	"137,281,166"	"694,385"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570250.3	ELA33CSaliva_Reads	"89,386,026"	"440,267"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570240.3	ELA100ASaliva_Reads	"144,406,864"	"674,477"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570241.3	ELA100BSaliva_Reads	"113,435,973"	"549,595"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570242.3	ELA100CSaliva_Reads	"117,651,736"	"583,705"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
