MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method	ProjectID
4547358.3	D1Saliva_Reads	"45,568,929"	"472,702"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547359.3	D1Sub_Reads	"87,414,488"	"709,460"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547360.3	D1Supra_Reads	"79,110,608"	"632,038"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547361.3	D2Saliva_Reads	"35,944,499"	"409,078"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547362.3	D2Sub_Reads	"117,314,110"	"651,143"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547363.3	D2Supra_Reads	"119,958,154"	"639,378"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547364.3	D3Saliva_Reads	"157,990,842"	"1,097,730"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547365.3	D3Sub_Reads	"127,975,145"	"718,913"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547366.3	D3Supra_Reads	"126,150,703"	"712,372"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547368.3	D4Sub_Reads	"82,998,221"	"548,578"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547369.3	D4Supra_Reads	"88,306,047"	"560,252"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547373.3	D6Saliva_Reads	"54,114,470"	"556,620"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547374.3	D6Sub_Reads	"83,336,110"	"712,570"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
