contig-100_32_4	5	ERR843912
contig-100_1_15	3	ERR843912
contig-100_69_2	6	ERR843912
contig-100_123_2	11	ERR843912
contig-100_250_1	1	ERR843912
contig-100_42_3	9	ERR843912
contig-100_46_2	1	ERR843912
contig-100_44_7	50	ERR843912
contig-100_2_5	81	ERR843912
contig-100_101_1	21	ERR843912
contig-100_8_1	286	ERR843912
contig-100_25_2	158	ERR843912
contig-100_5_31	6	ERR843912
contig-100_0_22	570	ERR843912
contig-100_141_1	3170	ERR843912
contig-100_3_13	5	ERR843912
contig-100_0_20	80	ERR843912
contig-100_13_6	12	ERR843912
contig-100_5_57	2	ERR843912
contig-100_3_36	1	ERR843912
contig-100_94_5	9	ERR843912
contig-100_7_9	3	ERR843912
contig-100_50_5	12	ERR843912
contig-100_45_2	2	ERR843912
contig-100_54_2	1	ERR843912
contig-100_3_7	20	ERR843912
contig-100_42_4	31	ERR843912
contig-100_125_2	6	ERR843912
contig-100_463_2	2	ERR843912
contig-100_13_13	37	ERR843912
contig-100_11_4	6	ERR843912
contig-100_17_5	5	ERR843912
contig-100_29_5	1	ERR843912
contig-100_40_4	1	ERR843912
contig-100_22_4	23	ERR843912
contig-100_46_3	1	ERR843912
contig-100_34_1	52	ERR843912
contig-100_10_5	20	ERR843912
contig-100_108_4	2	ERR843912
contig-100_15_5	37520	ERR843912
contig-100_0_9	130	ERR843912
contig-100_170_3	8	ERR843912
contig-100_485_1	9	ERR843912
contig-100_33_1	1	ERR843912
contig-100_292_1	4	ERR843912
contig-100_15_15	23816	ERR843912
contig-100_21_2	21	ERR843912
contig-100_93_1	2	ERR843912
contig-100_18_1	43	ERR843912
contig-100_273_2	2	ERR843912
contig-100_26_4	2	ERR843912
contig-100_6_6	87	ERR843912
contig-100_1_38	1	ERR843912
contig-100_38_2	55	ERR843912
contig-100_0_35	211	ERR843912
contig-100_67_5	3	ERR843912
contig-100_7_30	58	ERR843912
contig-100_20_1	4	ERR843912
contig-100_123_1	2	ERR843912
contig-100_101_2	21	ERR843912
contig-100_12_3	45	ERR843912
contig-100_3_16	2	ERR843912
contig-100_45_1	5	ERR843912
contig-100_17_17	9	ERR843912
contig-100_0_28	34	ERR843912
contig-100_11_3	7	ERR843912
contig-100_0_15	57	ERR843912
contig-100_1_26	4	ERR843912
contig-100_81_5	2	ERR843912
contig-100_5_5	7	ERR843912
contig-100_214_1	13	ERR843912
contig-100_5_24	3	ERR843912
contig-100_55_1	2	ERR843912
contig-100_0_21	51	ERR843912
contig-100_265_2	31	ERR843912
contig-100_72_2	4	ERR843912
contig-100_72_4	3	ERR843912
contig-100_54_3	45	ERR843912
contig-100_2_4	108	ERR843912
contig-100_80_2	2	ERR843912
contig-100_444_2	1	ERR843912
contig-100_25_3	1	ERR843912
contig-100_107_1	2	ERR843912
contig-100_318_1	21	ERR843912
contig-100_1_12	36	ERR843912
contig-100_47_1	3	ERR843912
contig-100_5_17	1	ERR843912
contig-100_3_14	2	ERR843912
contig-100_12_2	3	ERR843912
contig-100_8_2	36	ERR843912
contig-100_20_2	2	ERR843912
contig-100_3_2	4	ERR843912
contig-100_11_8	7	ERR843912
contig-100_44_4	15	ERR843912
contig-100_11_29	68	ERR843912
contig-100_1_5	37	ERR843912
contig-100_14_6	13	ERR843912
contig-100_0_1	1	ERR843912
contig-100_2_7	495	ERR843912
contig-100_338_1	3	ERR843912
contig-100_36_3	79	ERR843912
contig-100_0_69	2	ERR843912
contig-100_7_29	36	ERR843912
contig-100_18_11	12	ERR843912
contig-100_13_5	32	ERR843912
contig-100_73_5	3	ERR843912
contig-100_22_1	38	ERR843912
contig-100_36_8	21	ERR843912
contig-100_0_23	50	ERR843912
contig-100_50_4	14	ERR843912
contig-100_15_10	24029	ERR843912
contig-100_31_4	1	ERR843912
contig-100_13_9	4	ERR843912
contig-100_69_3	15	ERR843912
contig-100_6_9	2	ERR843912
contig-100_0_75	6	ERR843912
contig-100_132_1	1	ERR843912
contig-100_43_4	6	ERR843912
contig-100_51_1	2	ERR843912
contig-100_15_1	3870	ERR843912
contig-100_37_1	21	ERR843912
contig-100_3_24	4	ERR843912
contig-100_46_4	1	ERR843912
contig-100_432_1	1	ERR843912
contig-100_40_6	1	ERR843912
contig-100_157_5	1	ERR843912
contig-100_0_34	126	ERR843912
contig-100_11_5	92	ERR843912
contig-100_50_3	96	ERR843912
contig-100_32_5	14	ERR843912
contig-100_13_14	11	ERR843912
contig-100_0_14	52	ERR843912
contig-100_26_2	3	ERR843912
contig-100_261_3	2	ERR843912
contig-100_81_4	1	ERR843912
contig-100_38_7	27	ERR843912
contig-100_16_5	1	ERR843912
