V1	sum
k101_102793	191
k101_102808	3686
k101_102809	86
k101_10282	64
k101_102840	16
k101_102842	360
k101_102845	2080
k101_102850	113
k101_102857	177
k101_102863	55
k101_102865	173
k101_102867	28
k101_10288	117
k101_102881	96
k101_102889	78
k101_10289	1427
k101_102891	88
k101_102914	166
k101_102917	135
k101_10292	18159
k101_102930	270
k101_102941	154
k101_102944	37
k101_102947	81
k101_102957	53
k101_102965	38
k101_102978	84
k101_103016	142
k101_103020	179
k101_103021	165
k101_103023	65
k101_103039	272
k101_103041	129
k101_103042	114
k101_103044	107
k101_103046	2098
k101_103049	123
k101_103068	130
k101_103081	24
k101_103083	74
k101_103088	118
k101_103110	29
k101_10312	234
k101_103132	221
k101_103135	3646
k101_103140	36
k101_103147	180
k101_10315	43
k101_103151	139
k101_103153	112
k101_103156	381
k101_10317	41
k101_103173	3117
k101_103196	95
k101_1032	60
k101_103201	253
k101_103204	42
k101_103208	183
k101_103218	76
k101_103230	50
k101_103232	4975
k101_103242	80
k101_10326	34
k101_103268	224
k101_103274	442
k101_103279	100
k101_10328	3824
k101_10329	236
k101_103291	129
k101_103294	275
k101_103297	206
k101_103299	86
k101_103301	187
k101_103302	107
k101_103308	31
k101_10332	294
k101_103332	166
k101_103338	139
k101_10334	101
k101_10335	117
k101_103351	103
k101_103355	448
k101_103360	42
k101_103368	156
k101_10337	1039
k101_103381	86
k101_103387	77
k101_103392	173
k101_1034	4425
k101_103404	266
k101_103413	78
k101_103417	39
k101_10342	120587
k101_103423	47
k101_10343	78
k101_103432	23
k101_103439	75
k101_10346	101
k101_103461	188
k101_103462	238
k101_103468	57
k101_10348	300
k101_103481	117
k101_103484	110
k101_10349	1141
k101_103496	57
k101_103499	88425
k101_1035	64
k101_103509	77
k101_103525	45
k101_103531	660
k101_103541	617
k101_103552	377
k101_103562	48
k101_103568	45
k101_103588	90
k101_103633	89
k101_103637	118
k101_10364	1208
k101_103640	126
k101_103642	54
k101_103652	358
k101_103653	151
k101_103658	91
k101_10366	45
k101_103667	40
k101_10367	40
k101_103686	376
k101_103687	424
k101_103689	48
k101_103691	28
k101_103693	86
k101_103718	164
k101_103729	98
k101_103730	23
k101_103741	63
k101_103749	1429
k101_103751	85
k101_103752	169
k101_103755	52
k101_103757	169
k101_10376	609
k101_103780	21
k101_103781	125
k101_103787	1430
k101_103788	659
k101_103790	88
k101_103797	66
k101_103798	685
k101_1038	235
k101_10381	503
k101_103814	158
k101_10382	205
k101_103820	63
k101_103828	72
k101_10383	252
k101_103852	35
k101_103855	52
k101_103856	48
k101_103872	95
k101_103879	31
k101_103899	64
k101_103906	26
k101_103908	61
k101_103916	377
k101_103921	357
k101_103922	42
k101_103924	37
k101_103930	82
k101_103932	20
k101_103942	87
k101_103945	247
k101_10395	926
k101_103954	194
k101_103955	25
k101_103972	88
k101_103992	111
k101_104002	19435
k101_104008	483
k101_10401	545
k101_104014	261
k101_104016	1936
k101_104018	538
k101_10402	4965
k101_104025	27
k101_104030	40993
k101_10404	656
k101_104043	67581
k101_10405	1158
k101_104053	45
k101_10406	191
k101_104076	983
k101_10408	15382
k101_104081	864
k101_104092	1000
k101_104099	113
k101_10410	454
k101_104108	50
k101_104118	180
k101_104136	4199
k101_104147	56
k101_104164	67
k101_104178	26
k101_104181	177
k101_104182	463
k101_104192	1265
k101_1042	68
k101_104208	96
k101_104209	98
k101_104212	40
k101_104214	158
k101_104241	108
k101_104244	124
k101_104251	26
k101_104252	31
k101_104256	107
k101_10427	412
k101_104277	42
k101_104284	38
k101_104289	45
k101_10429	172
k101_104291	34
k101_104298	780
k101_104301	60
k101_104304	25
