Pseudomonas phage MPK7	Pseudomonas aeruginosa PAO1
Staphylococcus phage SA12	Staphylococcus aureus ATCC 29213
Vibrio phage VPUSM 8	Vibrio cholerae O1 El Tor Inaba
Shigella phage SfIV	Shigella flexneri serotype 4av
Cyanophage PP	Phormidium foveolarumPlectonema boryanum
Streptococcus phage TP-778L	Streptococcus thermophilus SK778
Streptococcus phage phiBHN167	Streptococcus pneumoniae BHN167
Staphylococcus phage JS01	Staphylococcus aureus JS201101
Burkholderia phage JG068	Burkholderia cenocepacia K56-2
Pseudomonas phage PAK_P5	Pseudomonas aeruginosa PAK
Pseudomonas phage PAK_P2	Pseudomonas aeruginosa PAK
Pseudomonas phage CHA_P1	Pseudomonas aeruginosa CHA
Pseudomonas phage PAK_P1	Pseudomonas aeruginosa PAK
Enterobacteria phage fiAA91-ss	Escherichia coli O157:H7
Bacillus phage phiAGATE	Bacillus pumilus GL1
Shigella phage pSf-1	Shigella flexneri ATCC 12022
Escherichia phage Lw1	Escherichia coli BL21(DE3)
Clostridium phage phiSM101	Clostridium perfringens SM101
Aggregatibacter phage S1249	Aggregatibacter actinomycetemcomitans D11S-1
Enterococcus phage EF62phi	Enterococcus faecalis 62
Streptococcus phage YMC-2011	Streptococcus salivarius 57.I
Streptococcus phage 20617	Streptococcus thermophilus DSM 20617
Rhizobium phage vB_RleS_L338C	Rhizobium leguminosarum biovar viciae 3841
Oenococcus phage phiS13	Oenococcus oeni Sarco S13
Oenococcus phage phiS11	Oenococcus oeni Sarco S11
Pseudomonas phage phiPsa374	Pseudomonas syringae pv. actinidiae ICMP 18800
Erwinia phage PhiEaH1	Erwinia amylovora B0.1960 (NCAIM, Hungary)
Enterobacter phage PG7	Enterobacter cloacae clinial isolate EC7
Mycobacterium phage Adler	Mycobacterium abscessus subsp. bolletii strain F1660
Escherichia phage KBNP1711	Escherichia coli KBP1711
Bacillus phage phiCM3	Bacillus thuringiensis strain YM-03
Vibrio phage PVA1	Vibrio alginolyticus Z1210
Lactococcus phage phiL47	Lactococcus lactis subsp. cremoris DPC6860
Pseudomonas phage PaBG	Pseudomonas aeruginosa PAO1
Psychrobacter phage Psymv2	Psychrobacter sp. MV2
Flavobacterium phage 6H	Flavobacterium psychrophilum strain MH1
Pseudoalteromonas phage RIO-1	Pseudoalteromonas marina CL-E25
Enterococcus phage VD13	Enterococcus faecalis 8413
Nitrincola phage 1M3-16	Nitrincola sp. M3-16
Pelagibacter phage HTVC010P	Candidatus Pelagibacter ubique HTCC1062
Pelagibacter phage HTVC019P	Candidatus Pelagibacter ubique HTCC1062
Pelagibacter phage HTVC008M	Candidatus Pelagibacter ubique HTCC1062
Pelagibacter phage HTVC011P	Candidatus Pelagibacter ubique HTCC1062
Vibrio phage CHOED	Vibrio anguillarum PF4
Mycobacterium phage Jolie2	Mycobacterium smegmatis mc2155
Cronobacter phage CR8	Cronobacter sakazakii ATCC 29544
Pseudomonas phage phiPSA2	Pseudomonas syringae pv. actinidiae
Dinoroseobacter phage DFL12phi1	Dinoroseobacter shibae DFL12
Leuconostoc phage phiLNTR3	Leuconostoc mesenteroides LN05
Leuconostoc phage phiLN6B	Leuconostoc pseudomesenteroides LN02
Leuconostoc phage phiLN12	Leuconostoc pseudomesenteroides LN02
Leuconostoc phage phiLN25	Leuconostoc mesenteroides LN25
Leuconostoc phage phiLN34	Leuconostoc mesenteroides LN05
Leuconostoc phage phiLNTR2	Leuconostoc mesenteroides LN05
Leuconostoc phage phiLN03	Leuconostoc pseudomesenteroides LN02
Bacillus phage Spock	Bacillus thuringiensis subsp. Kurstaki
Bacillus phage Page	Bacillus megaterium Km
Bacillus phage Staley	Bacillus megaterium Km
Bacillus phage BigBertha	Bacillus thuringiensis subsp. Kurstaki
Bacillus phage Pony	Bacillus megaterium Km
Bacillus phage Slash	Bacillus megaterium Km
Clavibacter phage CN1A	Clavibacter michiganensis CN18-4
Acinetobacter phage Petty	Acinetobacter baumannii AU0783
Acinetobacter phage Presley	Acinetobacter baumannii M2
Staphylococcus phage StauST398-1	Staphylococcus aureus 100
Thermoanaerobacterium phage THSA-485A	Thermoanaerobacterium saccharolyticum JW/SL-YS485
Synechococcus phage ACG-2014h	Synechococcus sp. WH7803
Pseudomonas phage MP48	Pseudomonas aeruginosa PA14
Acinetobacter phage YMC-13-01-C62	Acinetobacter baumannii YMC/13/01/C62
Bacillus phage Bobb	Bacillus thuringiensis subspecies Kurstaki
Pectobacterium phage PM1	Pectobacterium carotovorum subsp. carotovorum
Staphylococcus phage YMC/09/04/R1988	methicillin-resistant Staphylococcus aureus YMC/09/04/R1988
Geobacillus phage GBK2	Geobacillus kaustophilus ATCC 8005
Stenotrophomonas phage SMA7	Stenotrophomonas maltophilia Khak84
Escherichia phage FFH2	Escherichia coli O157:H7
Escherichia phage vB_EcoS_FFH1	Escherichia coli O157:H7
Streptococcus phage K13	Streptococcus pneumoniae isolate K13-810
Streptococcus phage DCC1738	Streptococcus pneumoniae isolate DCC1738
Streptococcus phage IC1	Streptococcus pneumoniae isolate 9908+13028
Bacillus phage Waukesha92	Bacillus thuringiensis subsp. Kurstaki
Staphylococcus phage P108	Staphylococcus aureus XN108
Ruegeria phage DSS3-P1	Ruegeria pomeroyi DSS-3
Rhizobium phage vB_RleM_P10VF	Rhizobium leguminosarum biovar viciae VF39
Mesorhizobium phage vB_MloP_Lo5R7ANS	Mesorhizobium loti R7ANS
Idiomarinaceae phage 1N2-2	Idiomarinaceae bacterium N2-2
Salmonella phage 9NA	Salmonella enterica serovar Typhiurium strain LT2
Escherichia phage ECML-134	Escherichia coli O157:H7
Aeromonas phage pAh6-C	Aeromonas hydrophila JUNAH
Idiomarinaceae phage Phi1M2-2	Idiomarinaceae bacterium M2-2
Staphylococcus phage phiSa119	Staphylococcus aureus Sau119
Staphylococcus phage MCE-2014	Staphylococcus aureus BCP88
Staphylococcus phage Team1	Staphylococcus xylosus SMQ121
Caulobacter phage Cr30	Caulobacter crescentus CB15
Bacillus phage CP-51	Bacillus cereus HER1399
Shigella phage POCJ13	Shigella flexneri 2a
Shigella phage Shf125875	Shigella flexneri ATCC 2587
Escherichia phage ECML-117	Escherichia coli O157:H7
Enterobacteria phage J8-65	Escherichia coli K-12 IJ2038
Escherichia phage ECML-4	Escherichia coli O157:H7
Shigella phage pSb-1	Shigella boydii ATCC 35966
Yersinia phage vB_YenP_AP5	Yersinia enterocolitica serotype O:3
Salmonella phage SE2	Salmonella enterica serovar Enteritidis
Shigella phage pSs-1	Shigella sonnei ATCC 25931
Enterobacteria phage P88	Escherichia coli K88
Escherichia phage ECBP1	Escherichia coli KBP21
Escherichia phage ECBP2	Escherichia coli KBP135
Enterobacteria phage RB3	Escherichia coli B
Enterobacteria phage RB27	Escherichia coli B
Salmonella phage LSPA1	Salmonella paratyphi A CMCC50973
Lelliottia phage phD2B	Lelliottia sp. GL2
Enterobacteria phage GEC-3S	Escherichia coli O104:H4
Streptococcus phage 315.1	Streptococcus pyogenes MGAS315
Salmonella phage ST64B	Salmonella enterica subsp. enterica serovar Typhimurium
Vibrio phage K139	Vibrio cholerae O139
Myxococcus phage Mx8	Myxococcus xanthus strain DK883
Lactococcus phage bIL312	Lactococcus lactis subsp. lactis Il1403
Lactococcus phage bIL310	Lactococcus lactis subsp. lactis Il1403
Lactococcus phage bIL309	Lactococcus lactis subsp. lactis Il1403
Lactococcus phage bIL286	Lactococcus lactis subsp. lactis Il1403
Lactococcus phage bIL311	Lactococcus lactis subsp. lactis Il1403
Vibrio phage fs2	Vibrio cholerae O139
Paracoccus phage vB_PmaS_IMEP1	Paracoccus marcusii JL-65
Lactobacillus phage Ldl1	Lactobacillus delbrueckii subsp. lactis
Acinetobacter phage Bphi-B1251	Acinetobacter baumannii YMC/09/02/B1251
Rhizobium phage vB_RglS_P106B	Rhizobium gallicum SO14B-4(6)
Lactococcus phage 1358	Lactococcus lactis SMQ-388
Staphylococcus phage phiBU01	Staphylococcus aureus HIP07256
Pseudomonas phage Pf-10	Pseudomonas fluorescens BIM B-582; Pseudomonas putida BIM B-68; Pseudomonas putida BIM B-159
Rhizobium phage RHEph06	Rhizobium etli GR56
Sulfitobacter phage NYA-2014a	Sulfitobacter sp. CB2047
Escherichia phage Av-05	Escherichia coli O157:H7
Aurantimonas phage AmM-1	Aurantimonas sp. C5-1
Erwinia phage phiEa2809	Erwinia amylovora 1/79
Pseudomonas phage Pa2	Pseudomonas aeruginosa PAO1
Escherichia phage PBECO 4	Escherichia coli O157
Escherichia phage EC6	Escherichia coli serotype O157:H7
Enterobacteria phage Sf101	Shigella flexneri serotype 7a
Acinetobacter phage YMC13/03/R2096	Acinetobacter baumannii YMC13/03/R2096
Escherichia phage vB_EcoM-VpaE1	Escherichia coli B strains
Enterobacteria phage SfI	Shigella flexneri serotype 1a strain 019
Leuconostoc phage Ln-9	Leuconostoc mesenteroides subsp. mesenteroides L79-1
Enterobacteriaphage UAB_Phi87	Salmonella enterica subsp. enterica
Proteus phage PM 75	Proteus mirabilis 821
Leuconostoc phage Ln-8	Leuconostoc mesenteroides subsp. mesenteroides D6a
Shigella phage SfMu	Shigella flexneri serotype 4a
Pseudomonas phage H70	Pseudomonas aeruginosa Ps33
Vibrio phage J2	Vibrio cholerae 2095
Escherichia phage vB_EcoP_SU10	Escherichia coli ECOR10
Vibrio phage QH	Vibrio cholerae 2095
Salmonella phage STP4-a	Salmonella Typhimurium ATCC 14028
Helicobacter phage KHP30	Helicobacter pylori strain 3401
Helicobacter phage KHP40	Helicobacter pylori strain KMT83
Escherichia phage vB_EcoM_JS09	avian pathogenic Escherichia coli and genetically engineered Escherichia coli B and K strain
Salmonella phage Ent1	Salmonella enterica subsp. enterica serovar Enteritidis
Salmonella phage vB_SenS-Ent2	Salmonella enterica subsp. enterica serovar Enteritidis
Salmonella phage vB_SenS-Ent3	Salmonella enterica subsp. enterica serovar Enteritidis
Campylobacter phage CP30A	Campylobacter jejuni subsp. jejuni
Flavobacterium phage FCL-2	Flavobacterium columnare B185
Proteus phage PM16	Proteus mirabilis 73
Escherichia phage vB_EcoP_24B	Escherichia coli O157:H7
Escherichia phage K1-dep(4)	Escherichia coli O18:K1:H7
Escherichia phage K1-dep(1)	Escherichia coli O18:K1:H7
Enterobacteria phage RB68	Escherichia coli B
Leuconostoc phage 1-A4	Leuconostoc mesenteroides 1-A4
Escherichia phage AR1	Escherichia coli O157:H7
Lactobacillus phage phiPYB5	Lactobacillus fermentum strain YB5
Pseudomonas phage phi6	Pseudomonas syringae pv. phaseolicola
Pseudomonas phage phi6	Pseudomonas syringae pv. phaseolicola
Pseudomonas phage phi6	Pseudomonas syringae pv. phaseolicola
