Salmonella phage FSL SP-058	Salmonella enterica
Salmonella phage FSL SP-076	Salmonella enterica
Bacillus phage B4	Bacillus cereus
Pseudomonas phage MPK7	Pseudomonas aeruginosa
Staphylococcus phage SA12	Staphylococcus aureus
Pseudomonas phage MPK6	Pseudomonas aeruginosa
Vibrio phage VPUSM 8	Vibrio cholerae
Shigella phage SfIV	Shigella flexneri
Cyanophage PP	Phormidium foveolarumPlectonema
Salmonella phage SETP13	Salmonella enteritidis
Streptococcus phage TP-778L	Streptococcus thermophilus
Streptococcus phage phiBHN167	Streptococcus pneumoniae
Staphylococcus phage JS01	Staphylococcus aureus
Ralstonia phage RSK1	Ralstonia solanacearum
Ralstonia phage RSB3	Ralstonia solanacearum
Staphylococcus phage phiRS7	Staphylococcus saprophyticus
Burkholderia phage JG068	Burkholderia cenocepacia
Pseudomonas phage PAK_P5	Pseudomonas aeruginosa
Pseudomonas phage PAK_P2	Pseudomonas aeruginosa
Pseudomonas phage CHA_P1	Pseudomonas aeruginosa
Pseudomonas phage PAK_P1	Pseudomonas aeruginosa
Enterobacteria phage fiAA91-ss	Escherichia coli
Staphylococcus phage Sb-1	Staphylococcus aureus
Bacillus phage phiAGATE	Bacillus pumilus
Shigella phage pSf-1	Shigella flexneri
Escherichia phage Lw1	Escherichia coli
Salmonella phage SPN9CC	Salmonella sp
Xanthomonas citri phage CP2	Xanthomonas citri
Clostridium phage phiSM101	Clostridium perfringens
Aggregatibacter phage S1249	Aggregatibacter actinomycetemcomitans
Enterococcus phage EF62phi	Enterococcus faecalis
Streptococcus phage YMC-2011	Streptococcus salivarius
Streptococcus phage 20617	Streptococcus thermophilus
Rhizobium phage vB_RleS_L338C	Rhizobium leguminosarum
Oenococcus phage phiS13	Oenococcus oeni
Vibrio phage VH7D	Vibrio harveyi
Oenococcus phage phiS11	Oenococcus oeni
Staphylococcus phage phiSA12	Staphylococcus aureus
Pseudomonas phage TL	Pseudomonas aeruginosa
Pseudomonas phage phiPsa374	Pseudomonas syringae
Erwinia phage PhiEaH1	Erwinia amylovora
Edwardsiella phage eiAU-183	Edwardsiella ictaluri
Enterobacter phage PG7	Enterobacter cloacae
Stenotrophomonas phage Smp131	Stenotrophomonas maltophilia
Acinetobacter phage IME_AB3	Acinetobacter baumannii
Mycobacterium phage Adler	Mycobacterium abscessus
Escherichia phage KBNP1711	Escherichia coli
Bacillus phage phiCM3	Bacillus thuringiensis
Enterococcus phage IME-EF4	Enterococcus sp
Vibrio phage PVA1	Vibrio alginolyticus
Lactococcus phage phiL47	Lactococcus lactis
Pseudomonas phage PaBG	Pseudomonas aeruginosa
Aeromonas phage PX29	Aeromonas salmonicida
Rhodococcus phage ReqiPoco6	Rhodococcus equi
Rhodococcus phage ReqiDocB7	Rhodococcus equi
