contig	count
contig-100_74_5	49
contig-100_508_1	52
contig-100_395_1	169
contig-100_1_35	14300
contig-100_86_6	65
contig-100_18_7	2387
contig-100_50_6	33
contig-100_145_1	413
contig-100_43_7	99721
contig-100_120_2	1155
contig-100_9_18	3773
contig-100_24_6	9214
contig-100_126_6	3
contig-100_34_10	410
contig-100_550_2	34
contig-100_2_25	1139
contig-100_14_16	162
contig-100_171_4	4
contig-100_4_72	107
contig-100_126_5	7
contig-100_17_21	372
contig-100_141_6	8
contig-100_448_1	46
contig-100_247_3	23
contig-100_226_3	12
contig-100_157_1	566
contig-100_377_1	62
contig-100_134_2	1036
contig-100_72_7	9
contig-100_13_3	48530
contig-100_105_2	750
contig-100_84_6	3
contig-100_3_32	7874
contig-100_1_16	21046
contig-100_70_1	16415
contig-100_340_1	30
contig-100_50_7	1015
contig-100_104_4	125
contig-100_262_1	225
contig-100_9_37	668
contig-100_68_5	430
contig-100_488_1	113
contig-100_56_9	56
contig-100_459_2	18
contig-100_254_1	454
contig-100_33_5	756
contig-100_10_16	2967
contig-100_558_1	5
contig-100_5_19	1571
contig-100_3_55	927
contig-100_4_74	938
contig-100_223_1	267
contig-100_31_2	39814
contig-100_73_1	1886
contig-100_3_75	57
contig-100_255_1	50
contig-100_262_2	38
contig-100_149_1	446
contig-100_0_50	3717
contig-100_25_7	3337
contig-100_393_3	1
contig-100_163_3	172
contig-100_372_1	434
contig-100_91_1	34933
contig-100_59_3	211
contig-100_74_9	1
contig-100_451_4	5
contig-100_167_3	46
contig-100_136_2	1700
contig-100_0_94	1223
contig-100_364_2	1
contig-100_118_2	202
contig-100_36_11	14
contig-100_19_3	3344
contig-100_260_2	356
contig-100_0_65	22973
contig-100_208_5	14
contig-100_164_2	166
contig-100_169_2	112808
contig-100_501_2	99
contig-100_56_3	563
contig-100_299_2	64
contig-100_39_5	75797
contig-100_151_4	1417
contig-100_384_1	52
contig-100_229_2	45
contig-100_30_4	53135
contig-100_66_3	446
contig-100_48_2	24212
contig-100_2_50	2331
contig-100_1_75	54
contig-100_561_2	2
contig-100_292_2	19
contig-100_46_9	76
contig-100_85_1	3546
contig-100_399_1	81
contig-100_372_3	2
contig-100_27_7	7623
contig-100_139_1	409
contig-100_4_11	3049
contig-100_3_70	611
contig-100_8_15	3586
contig-100_2_37	1238
contig-100_306_1	77
contig-100_119_1	1140
contig-100_263_2	369
contig-100_331_1	458
contig-100_25_13	327
contig-100_98_5	33
contig-100_0_82	6417
contig-100_65_1	1248
contig-100_155_5	14
contig-100_336_1	17
contig-100_55_9	25
contig-100_38_6	401
contig-100_261_1	1297
contig-100_3_31	8171
contig-100_131_3	576
contig-100_437_3	6
contig-100_13_21	1307
contig-100_142_4	7
contig-100_5_1	18479
contig-100_98_7	45
contig-100_0_30	6379
contig-100_106_1	2833
contig-100_25_6	6716
contig-100_287_1	692
contig-100_435_1	124
contig-100_3_49	400
contig-100_13_16	855
contig-100_176_2	31958
contig-100_6_48	1004
