Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID
contig-100_0_1	1	22	184	0	6	12	239	0	0	22	0	13	120	8	0	0	0	32	220	2	0	531	0	0	0	36	52	459	543	16	143	16	14	52	6	32	3	9	3848	171	228	37	11	0	0	1
contig-100_0_2	2	30	10	12	30	3	235	91	1091	14	0	9	106	0	0	0	0	15	69	0	0	2971	0	0	24	78	124	274	315	44	19	7	3	95	6	81	18	11	10557	52	203	48	4	0	0	0
contig-100_0_3	3	516	51	0	25	12	791	5	129	6	0	1207	525	0	0	0	0	16	52	0	0	2440	0	0	110	15	40	171	212	56	116	172	9	45	0	129	77	1985	586	202	729	30	2	0	0	3
contig-100_0_4	19	91	51	17	0	8	301	128	2392	106	0	20	1265	4	0	0	0	40	179	0	0	0	8	0	49	2	15	830	968	133	102	0	373	241	21	75	77	2488	501	150	377	135	33	0	0	1
contig-100_0_5	3	23	125	0	5	0	1105	0	2	18	0	75	7244	6	0	0	0	7	3	0	0	679	65	0	85	15	16	287	292	369	776	18	11	218	1	43	252	6139	1518	1266	1271	278	1	0	0	8
contig-100_0_6	0	546	115	23	50	20	223	262	4623	0	1	20	200	7	0	0	0	102	382	0	0	5039	0	1947	88	31	82	565	601	269	804	23	10	42	0	74	70	753	447	1230	151	84	0	0	0	1
contig-100_0_7	3	189	70	19	22	95	740	269	4540	0	0	80	443	2	0	0	0	130	315	0	0	1239	0	0	1	37	105	501	550	30	36	182	6	75	0	13	41	412	1970	61	635	41	0	1	1	0
contig-100_0_8	17	348	34	0	8	0	863	0	0	43	0	306	533	1	0	0	0	12	47	0	0	1156	0	0	532	19	64	681	741	101	20	46	9	160	8	135	90	537	499	53	798	82	2	0	1	0
contig-100_0_9	130	572	340	0	6	4	812	0	0	433	0	65	504	12	1	0	0	25	100	0	0	727	0	0	13	2	21	519	551	205	54	1	68	122	128	749	25	308	1980	117	658	137	65	0	0	10
contig-100_0_10	1	726	72	0	0	3	337	0	0	19	0	17	250	7	0	0	0	6	45	0	0	31	0	0	21	19	47	462	585	34	913	0	12	107	8	147	30	350	1738	1418	189	31	6	0	0	8
contig-100_0_11	41	248	76	3	1	11	552	75	1155	186	0	29	486	5	0	0	0	33	118	0	0	236	0	0	16	68	140	946	1014	38	28	1	4	53	37	1208	41	1187	2142	69	315	160	41	0	0	918
contig-100_0_12	8	33	687	1	9	2	26	22	344	27	0	0	21	24	0	0	0	10	24	0	0	1184	4	0	26	50	97	467	532	1	197	1	3	30	24	76	81	305	835	244	0	19	6	2	0	3
contig-100_0_13	5	17	20	7	13	16	713	66	1254	14	0	39	421	0	0	0	0	25	130	0	0	1543	2	0	36	10	31	582	563	0	151	1	30	1	16	63	86	157	114	212	705	1	6	0	0	0
contig-100_0_14	52	48	563	0	34	4	199	0	0	276	0	25	142	28	1	0	2	14	5	5	0	5950	9	0	41	118	238	313	347	2	931	0	202	23	110	168	18	394	1320	1455	181	35	82	1	0	11
contig-100_0_15	57	16	132	51	39	13	162	520	6401	183	0	19	122	1	0	1	1	137	595	0	0	5246	17	2	39	114	303	1060	1070	1	832	2	20	33	36	81	134	963	312	1238	138	26	37	0	0	6
contig-100_0_16	0	224	25	0	2	0	21	0	0	0	0	1	16	1	0	0	0	19	41	0	0	479	4	0	175	56	134	479	458	0	155	0	40	12	0	65	12	245	618	255	19	5	0	2	0	4
contig-100_0_17	10	45	127	6	39	21	246	64	1006	66	0	10	161	0	0	0	0	32	110	0	0	5155	0	2	54	46	139	156	190	5	85	2	87	83	9	13	3	155	349	86	166	79	3	0	0	6
contig-100_0_18	53	41	122	13	25	41	507	182	2281	403	0	35	416	0	0	0	2	127	603	1	0	2169	0	0	0	35	67	279	355	9	23	1	4	17	41	32	215	393	302	40	293	60	42	1	0	0
contig-100_0_19	72	17	759	7	0	7	217	45	521	538	0	34	183	24	0	0	0	23	80	0	0	59	0	0	134	0	0	154	149	7	169	0	35	19	62	113	22	341	3	252	132	99	41	15	0	0
contig-100_0_20	80	132	363	2	9	12	354	31	441	470	2	35	311	8	0	0	0	15	63	6	0	646	0	0	17	77	149	391	405	0	67	2	133	185	41	141	858	954	301	136	167	48	30	4	0	1
contig-100_0_21	51	188	1450	4	9	50	1577	140	1851	424	0	102	1139	12	0	0	0	71	315	1	0	1459	0	0	67	78	179	91	85	5	142	0	85	19	46	96	46	276	173	252	900	56	30	42	0	4
contig-100_0_22	570	144	308	1	19	6	4473	5	0	3566	0	364	2915	0	1	0	0	41	121	2	0	1068	4	0	31	29	66	486	598	31	80	3	19	141	315	109	241	597	126	87	3306	288	231	5	0	11
contig-100_0_23	50	431	194	17	23	71	7786	204	2987	185	0	444	4672	1	0	0	0	161	744	0	0	1884	50	0	74	70	168	348	268	7	114	1	1	25	12	55	179	3702	2	168	5114	24	14	10	0	10
contig-100_0_24	56	134	115	14	23	64	19230	211	3060	280	0	984	12738	0	0	0	0	108	373	0	0	3109	3	0	37	83	166	266	254	2	258	0	0	13	65	73	68	297	293	356	11141	20	36	2	0	11
contig-100_0_25	36	31	72	0	30	4	908	1	2	120	0	55	609	0	0	0	0	1	0	0	0	2679	38	0	48	58	119	355	398	35	153	0	3	63	8	157	249	3211	186	197	481	215	10	0	0	3
contig-100_0_26	10	0	2	31	40	56	1229	273	3851	70	0	64	792	0	0	0	0	100	420	0	0	4117	1	0	21	56	92	514	587	14	88	2	3	53	16	161	9	69	97	119	598	136	5	0	0	7
contig-100_0_27	0	6637	63	0	35	4	747	1	45	0	0	42	523	1	0	0	0	14	64	0	0	4058	0	0	20	116	152	785	1081	42	31	4	7	75	0	67	34	115	2	64	382	372	0	6	0	1
contig-100_0_28	34	2635	54	5	9	22	1392	97	1290	143	0	56	848	0	0	0	0	37	151	0	0	452	0	0	38	108	153	139	203	3	40	1	2	110	17	251	26	499	19	67	875	147	14	2	0	3
contig-100_0_29	9	1404	204	0	1	3	1004	0	0	53	0	52	868	1	0	0	0	3	3	0	0	143	7	0	88	14	47	376	560	8	57	3	0	25	2	0	94	425	10	113	1064	85	2	8	0	5
contig-100_0_30	4	1506	35	2	10	10	471	28	313	53	0	23	422	1	0	0	3	9	50	0	0	611	3	0	14	31	60	557	767	5	200	1	0	39	6	205	20	311	49	348	152	48	3	6	0	3
contig-100_0_31	3	148	58	10	1	48	123	129	2085	26	0	2	146	0	0	0	0	82	384	0	0	167	0	0	82	74	134	411	778	1	19	2	8	74	5	318	37	325	26	23	0	54	3	3	0	0
contig-100_0_32	104	1049	33	0	4	44	464	0	2	439	0	23	295	0	0	0	0	0	4	0	0	287	0	0	45	71	126	1443	2298	8	40	9	0	585	61	459	48	546	32	54	219	180	49	0	0	1
contig-100_0_33	63	491	11	0	9	25	780	0	0	247	0	36	497	0	0	0	12	27	106	0	0	1917	0	2	70	144	218	129	252	7	158	5	0	396	44	114	26	896	8	243	510	155	29	0	0	7
contig-100_0_34	126	308	29	9	8	8	392	57	919	229	0	4	450	0	0	0	0	41	180	0	0	985	0	2	155	195	345	1659	2862	10	3	6	0	60	37	37	66	451	26	4	1	85	37	0	0	0
contig-100_0_35	211	244	152	6	11	17	2230	68	1379	275	0	131	1566	0	0	0	0	251	1163	0	0	838	1	0	47	84	144	725	1214	2	30	1	0	108	45	375	2	18	47	60	1364	49	39	6	0	7
contig-100_0_36	17	11	19	0	18	12	2948	0	0	10	0	115	2297	0	0	0	0	81	267	0	0	755	0	2	12	14	23	1168	1805	4	26	5	0	10	3	0	44	664	2	36	1292	35	1	1	0	2
contig-100_0_37	10	202	21	2	0	49	25	0	0	18	0	1	36	0	0	0	0	137	686	0	0	0	0	0	52	37	85	924	1309	3	54	3	9	22	7	249	146	335	45	85	0	16	0	1	0	0
