Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID	Contig_ID
contig-100_0_38	0	225	57	0	10	10	1035	0	0	0	0	37	607	0	0	0	0	33	173	0	0	715	0	0	87	70	117	586	930	3	9	0	0	20	0	107	95	1092	53	22	592	64	0	0	0	1
contig-100_0_39	0	2458	28	0	0	5	360	0	0	0	0	10	280	0	0	0	0	87	431	0	0	0	0	0	25	39	68	818	1175	0	146	3	0	16	0	248	112	2506	24	270	141	13	0	0	0	1
contig-100_0_40	0	644	30	0	6	4	1033	0	0	1	0	73	667	0	0	0	0	24	162	0	0	664	0	2	16	18	49	410	617	0	3	0	0	7	0	143	25	37	73	13	718	0	0	0	0	0
contig-100_0_41	0	1150	8	1	2	0	1144	8	155	0	0	42	615	0	0	0	0	63	377	0	0	83	0	0	88	17	29	708	1023	4	14	5	3	3	0	115	39	451	1	12	884	47	0	0	0	1
contig-100_0_42	0	870	0	0	18	0	2028	0	0	0	0	78	1836	0	0	0	0	19	126	0	0	601	0	0	18	72	121	684	1234	12	27	2	0	21	0	233	12	168	130	38	928	116	0	0	0	0
contig-100_0_43	0	716	0	0	11	0	272	0	0	0	0	11	155	0	0	0	0	93	585	0	0	615	0	0	16	0	1	1227	2103	3	1	6	0	24	0	9	9	12	14	2	152	46	0	0	0	0
contig-100_0_44	0	149	0	23	0	56	72	360	5725	0	0	3	71	0	0	0	0	169	836	0	0	0	2	0	18	39	48	618	877	20	11	0	4	55	1	84	31	399	43	45	0	187	0	0	0	0
contig-100_0_45	0	6	0	0	0	0	700	0	0	0	0	53	487	0	0	0	0	0	0	0	0	1	0	0	6	1	2	1804	2997	0	11	2	0	11	0	731	14	28	28	22	671	2	0	0	0	0
contig-100_0_46	0	78	0	0	7	1	802	0	0	0	0	43	459	0	0	0	0	36	182	0	0	429	0	0	614	17	70	875	1272	1	10	4	0	14	0	60	55	251	25	6	668	4	0	0	0	0
contig-100_0_47	0	540	0	0	0	35	715	3	54	0	0	55	468	0	0	0	0	161	794	0	0	224	0	0	13	0	1	1102	1726	0	5	5	0	3	0	42	15	191	9	12	663	0	0	0	0	0
contig-100_0_48	5	327	0	173	6	478	77	2504	36579	0	0	4	84	0	0	0	0	2223	12500	0	0	476	0	0	58	30	62	1057	1474	0	19	8	68	61	5	75	60	104	67	29	47	18	7	0	0	0
contig-100_0_49	0	448	0	3	3	10	267	39	660	0	0	9	163	0	0	0	0	54	216	0	0	446	0	0	55	1	4	1199	1484	0	3	1	7	1	0	41	51	283	105	9	287	0	0	0	0	0
contig-100_0_50	0	844	0	0	0	0	25	0	0	0	0	0	35	0	0	0	0	4	1	0	0	0	0	0	46	0	0	971	1343	0	3	3	0	25	0	18	12	342	34	1	0	8	0	0	0	2
contig-100_0_51	0	364	0	0	6	13	147	0	0	0	0	13	94	0	0	0	0	33	162	0	0	195	0	0	4	1	5	717	865	2	0	2	0	77	0	73	135	521	42	0	172	17	0	0	0	0
contig-100_0_52	0	1377	0	5	0	4	411	39	476	2	0	26	399	0	0	0	0	36	201	0	0	359	0	0	10	5	1	374	487	0	0	1	0	0	0	78	125	268	184	0	246	0	0	0	0	0
contig-100_0_53	1	1606	1	6	18	4	149	33	497	0	0	10	89	0	0	0	0	9	52	0	0	1596	0	0	107	0	0	365	455	0	20	1	0	0	0	41	28	238	44	47	134	0	0	0	0	0
contig-100_0_54	0	43	0	3	2	7	681	37	540	0	0	24	618	0	0	0	0	36	149	0	0	246	0	0	38	0	0	62	95	0	12	2	0	0	0	42	110	117	35	31	338	0	0	0	0	0
contig-100_0_55	0	23	0	8	5	27	336	139	2374	0	0	10	264	0	0	0	0	123	761	0	0	360	0	0	36	0	0	469	664	0	6	0	0	0	0	0	20	24	10	10	243	0	2	0	0	0
contig-100_0_56	0	117	0	0	30	0	101	0	0	0	0	10	42	0	0	0	0	13	105	0	0	3288	0	0	46	0	0	216	214	0	24	0	0	0	0	0	19	33	37	29	85	0	0	0	0	0
contig-100_0_57	0	75	0	0	5	0	166	0	0	0	0	13	120	0	0	0	0	26	95	0	0	1443	0	0	128	0	0	166	226	0	160	0	0	0	0	2	5	72	63	308	205	0	0	0	0	2
contig-100_0_58	0	28	0	0	7	1	120	1	66	0	0	2	116	0	0	0	0	23	121	0	0	1025	0	0	9	0	0	0	0	0	61	0	0	0	0	0	0	10	5	94	39	0	0	0	0	0
contig-100_0_59	0	490	0	0	4	0	125	0	0	0	0	3	73	0	0	0	0	0	4	0	0	954	0	0	79	0	0	413	498	0	95	0	0	0	0	2	25	33	14	168	124	0	0	0	0	7
contig-100_0_60	0	322	0	0	11	0	27	0	0	0	0	1	28	0	0	0	0	60	215	0	0	1413	0	0	36	4	2	213	267	0	30	0	0	0	0	0	248	400	50	66	26	0	0	0	0	2
contig-100_0_61	0	205	0	0	9	0	77	0	0	0	0	4	43	0	0	0	0	63	223	0	0	1034	0	0	116	0	2	919	1040	0	76	0	0	0	0	0	20	32	61	182	80	0	0	0	0	8
contig-100_0_62	0	127	0	0	0	0	43	0	0	0	0	2	50	0	0	0	0	78	338	0	0	247	0	0	11	0	1	235	278	0	6	0	0	0	0	0	11	47	176	7	0	0	0	0	0	0
contig-100_0_63	0	85	0	0	7	0	17	0	0	0	0	0	16	0	0	0	0	92	407	0	0	315	0	0	27	2	5	640	707	0	33	0	0	0	0	0	13	35	150	70	0	0	0	0	0	0
contig-100_0_64	0	92	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	269	1180	0	0	1039	0	0	72	2	3	0	0	0	26	0	2	0	0	0	75	115	81	56	0	0	0	0	0	0
contig-100_0_65	6	20	0	108	1	242	20	1130	16483	0	0	0	19	0	0	0	0	761	3418	0	0	174	0	0	2	13	13	0	0	0	55	0	5	0	4	0	8	57	347	87	0	0	0	0	0	0
contig-100_0_66	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	169	745	0	0	562	0	0	6	2	4	0	0	0	17	0	0	0	0	0	15	125	149	23	0	0	0	0	0	1
contig-100_1_1	130	76	128	17	8	2	83	0	25	860	0	36	575	0	1	0	0	10	109	26	0	337	4	0	0	15	17	192	385	0	5	2763	31	34	135	35	13	284	102	136	124	17	76	0	2	14
contig-100_1_2	25	79	115	11	0	2	66	6	25	192	0	21	178	0	0	0	0	3	41	2	0	109	0	0	0	41	67	196	302	45	9	1772	55	231	23	2	72	5579	1389	139	10	99	10	0	0	0
contig-100_1_3	17	193	68	299	0	6394	209	2530	234	131	0	51	545	0	1	0	0	24	223	12	0	0	2	0	2810	32	34	294	399	10	5	0	19	108	48	43	9	4115	500	1552	52	119	29	0	7	0
contig-100_1_4	0	0	28	2	10	0	10	0	10	0	0	10	212	0	0	0	0	35	266	6	0	142	0	0	5	20	23	55	199	1101	2	104	3	315	0	1	113	2671	19	92	131	3303	1	0	1	0
contig-100_1_5	37	123	193	268	0	4137	2	1817	197	284	0	10	143	0	2	0	0	5	46	2	0	1	0	0	1499	9	18	1480	3535	63	5	1806	12	173	55	1	13	1508	390	765	89	286	39	0	1	0
contig-100_1_6	0	633	729	64	2	9	242	0	192	2	0	50	649	0	1	0	0	11	124	0	0	13	37	0	183	43	71	132	275	1041	3	214	228	771	0	33	26	5181	638	33	113	3124	0	0	0	0
contig-100_1_7	36	1112	8	86	2	1851	207	624	113	188	234	64	588	0	0	0	0	4	36	1	0	26	4	0	738	5	3	222	324	62	21	4	21	112	34	3	14	607	336	30	13	395	15	0	0	1
contig-100_1_8	0	258	3	226	2	3392	329	1431	254	0	601	80	1127	0	0	0	0	0	0	74	4	11	0	0	1500	23	19	61	126	600	4	4	19	266	4	36	22	758	3	32	164	1727	0	0	0	0
contig-100_1_9	0	2607	0	0	5	2	6	2	0	0	137	12	291	0	0	0	0	0	0	72	2	74	5	0	178	12	26	94	107	7	9	0	43	81	1	44	0	534	185	47	177	160	8	0	0	0
contig-100_1_10	29	15	3	78	5	1224	222	624	48	181	286	52	590	0	1	0	0	0	0	1	0	62	1	0	870	19	22	176	232	1	94	4	17	48	46	21	100	368	0	49	55	89	26	0	0	3
contig-100_1_11	58	99	31	155	0	3007	587	1365	140	223	405	153	1189	0	0	0	0	1	14	1	0	45	0	0	1306	8	19	138	238	0	18	7	27	8	64	12	5	163	304	22	47	51	36	0	0	9
contig-100_1_12	36	0	42	911	12	16347	512	7754	675	236	2098	157	1251	0	0	0	0	6	41	10	0	365	3	0	5745	83	126	85	187	0	2	11	3	57	85	31	24	331	141	35	88	449	57	0	0	0
contig-100_1_13	3	126	56	302	11	4551	265	2157	209	15	391	80	590	0	0	0	1	6	32	0	1	451	6	0	1213	29	80	91	221	0	205	0	26	16	17	50	20	721	296	40	38	119	12	0	0	1
contig-100_1_14	6	196	39	1786	0	26618	188	14081	1088	15	4201	50	482	0	1	0	0	6	66	0	0	114	0	0	10208	47	78	381	541	0	148	1	37	6	51	15	29	270	335	153	28	114	14	0	0	0
contig-100_1_15	3	471	29	768	0	13034	0	5832	528	11	58	0	33	0	0	0	0	0	0	0	0	0	0	0	4197	36	68	74	161	0	53	0	52	7	23	20	0	125	273	115	20	88	6	0	2	0
contig-100_1_16	24	235	43	536	0	8623	1	3895	379	141	1184	2	43	0	0	0	0	10	107	0	0	1	0	0	3455	34	44	436	693	0	30	2	9	6	57	14	1	444	13	467	40	57	19	0	1	0
contig-100_1_17	2	110	20	525	2	8194	0	4598	385	0	1363	1	52	0	0	0	0	86	729	0	0	10	0	0	4289	15	20	111	186	0	12	0	28	1	12	11	1	181	5	0	22	53	9	0	0	0
contig-100_1_18	5	518	44	821	3	12716	22	6633	539	23	1291	13	113	0	0	0	0	2	0	0	0	242	18	0	6952	27	48	602	902	0	110	1	6	3	20	16	2	111	50	201	75	104	7	0	0	0
contig-100_1_19	11	225	43	1286	0	20409	2	9358	859	49	187	4	85	0	0	0	0	4	69	7	0	67	0	0	6208	10	14	24	49	0	26	0	0	0	18	72	13	1957	0	165	41	8	10	0	0	3
contig-100_1_20	0	979	67	278	0	4370	94	2021	227	0	127	40	289	0	0	0	0	2	2	9	0	147	7	0	1262	31	40	159	273	0	62	3	0	4	11	9	3	3064	52	40	74	95	0	0	0	0
contig-100_1_21	1	735	80	459	1	6677	37	2922	303	3	137	13	107	0	0	0	0	30	272	0	0	146	4	0	2323	11	18	86	121	0	4	0	0	2	2	18	0	343	175	40	19	69	1	0	0	0
contig-100_1_22	9	4616	326	642	0	8933	110	4833	579	17	3	30	294	0	1	0	0	9	217	2	0	158	11	0	8240	4	17	208	306	2	0	0	0	1	14	28	7	160	193	52	39	60	3	0	0	0
contig-100_1_23	0	29	22	3	0	0	119	3	16	0	0	38	361	0	0	0	0	8	100	19	0	115	3	4	997	0	1	70	126	0	15	0	0	28	0	25	16	247	1	18	61	285	0	0	0	0
contig-100_1_24	8	488	114	265	0	3735	345	1640	265	62	0	167	2255	0	0	0	2	248	1852	136	6	345	21	0	2882	5	9	73	112	0	0	0	0	11	27	49	153	1097	76	0	879	58	15	0	0	0
contig-100_1_25	23	426	77	154	0	2473	6	987	142	141	0	6	76	0	0	0	2	57	354	31	2	45	9	5	1037	6	5	65	88	0	129	0	0	6	21	7	8	844	132	55	39	100	15	0	0	2
contig-100_1_26	4	354	39	379	0	4985	35	2088	299	40	2	5	65	0	0	0	0	99	947	0	0	32	12	0	3088	0	0	27	48	0	229	0	0	5	14	3	3	2073	166	47	0	72	3	0	0	0
contig-100_1_27	7	67	9	2	0	1	0	0	5	77	0	4	3	0	0	0	0	22	223	0	0	59	1	0	104	0	0	96	175	0	135	0	0	1	12	4	8	3524	111	26	0	51	3	0	0	0
contig-100_1_28	0	105	15	4	0	0	0	0	15	0	0	0	2	0	0	0	0	189	1833	0	0	23	2	1	0	0	0	287	430	0	104	2	0	3	0	1	5	2685	116	16	0	21	0	0	0	0
contig-100_1_29	0	224	10	498	3	7341	141	3882	233	0	0	71	376	0	0	0	1	0	0	0	0	23	1	0	2843	0	0	132	321	0	347	3	1	0	9	30	1	5627	111	0	0	16	0	0	0	0
contig-100_1_30	0	47	2	0	0	0	27	0	0	2	5	14	72	0	0	0	2	44	298	0	0	31	12	890	0	0	0	701	1096	0	188	0	0	1	0	10	0	5741	304	307	0	52	2	0	0	0
contig-100_1_31	0	237	8	609	0	9647	95	4909	452	0	1106	27	218	0	1	0	0	2	0	0	0	21	2	0	4725	0	0	352	541	0	393	1	0	0	5	37	0	338	107	49	0	17	0	0	0	43
contig-100_1_32	0	314	4	154	0	1796	41	930	75	0	147	17	110	0	0	0	1	60	362	0	0	105	2	0	2418	0	0	181	243	0	43	1	0	0	0	103	0	130	552	312	0	19	0	0	0	0
contig-100_1_33	0	87	42	20	2	258	127	119	13	0	0	57	281	0	0	0	0	46	488	0	0	42	0	0	475	1	4	189	247	0	47	8	0	0	1	26	4	552	569	100	1	7	0	0	0	0
contig-100_1_34	1	30	0	70	0	1057	106	563	55	0	135	29	241	0	0	0	0	0	0	0	0	12	0	0	651	0	0	256	286	0	0	3	0	0	0	108	0	338	274	332	0	8	0	0	0	0
contig-100_1_35	0	608	0	343	4	5533	0	2773	219	0	19	0	4	0	0	0	0	16	170	0	0	103	75	0	2095	0	0	236	401	0	30	0	0	6	2	126	0	316	1075	65	0	81	0	0	0	0
contig-100_1_36	0	41	1	71	2	1077	0	442	51	0	0	0	4	0	0	0	0	0	0	0	0	120	2	0	409	0	0	33	113	0	185	0	0	3	1	126	0	2337	417	65	0	22	0	0	0	0
contig-100_1_37	0	29	0	0	0	0	69	0	0	0	0	19	150	0	0	0	0	40	369	0	0	109	76	14	2	0	0	60	103	0	62	1	0	2	0	21	0	422	918	85	0	13	0	0	0	0
contig-100_1_38	1	0	7	274	0	4126	203	1929	221	0	0	61	432	0	0	0	0	8	179	0	0	75	39	0	1585	0	0	52	129	0	55	3	0	3	2	25	0	1484	385	5	0	100	1	0	0	1
contig-100_1_39	0	126	25	8	2	1	706	0	34	0	5	241	1562	0	0	0	0	11	149	0	0	67	6	562	0	0	2	19	34	0	599	16	0	0	0	48	0	1356	63	47	9	21	4	0	0	0
contig-100_1_40	0	442	20	14	2	0	50	2	22	0	22	21	95	0	0	0	0	2	16	0	0	35	121	74	0	0	0	15	27	0	86	1	0	2	0	100	0	1288	1776	30	0	10	0	8	106	0
contig-100_1_41	0	40	0	0	0	0	75	0	0	0	2	15	137	0	0	0	0	41	375	0	0	12	25	526	2622	0	0	23	50	0	836	0	0	5	0	37	2	0	490	9	0	68	0	0	0	0
contig-100_1_42	8	0	0	11192	2	171294	0	83717	7336	9	15736	0	0	0	0	0	0	28	167	2	0	5	67	0	63478	0	0	11	15	0	78	0	0	0	180	129	6	739	876	2	0	5	12	0	0	0
contig-100_1_43	0	36	0	0	0	1	52	0	0	0	0	14	76	0	0	0	0	51	339	0	0	140	1	84	0	0	0	0	0	0	43	2	0	2	0	22	0	2	54	36	0	52	0	0	0	0
contig-100_1_44	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0	16	78	129	1	0	0	29	42	0	60	0	0	2	0	41	0	0	958	42	0	66	0	0	0	0
contig-100_1_45	0	392	0	0	0	0	101	1	0	0	0	29	183	0	0	0	0	13	81	0	0	0	12	56	0	0	0	0	0	0	63	1	0	4	0	34	0	109	274	0	0	107	0	0	19	0
contig-100_2_1	0	46	0	7	20	17	52	12	24	17	5	9	67	0	129	0	0	190	24	1	0	70	2	0	50	36	84	287	252	31	55	1077	2332	36	14	66	83	8	828	200	42	162	8	0	0	0
contig-100_2_2	9	234	6	0	12	0	0	14	12	67	0	0	0	0	46	0	19	33	140	0	0	65	0	0	64	24	45	77	69	40	502	98	442	44	9	273	30	5	625	0	0	339	10	0	0	0
contig-100_2_3	55	0	22	1	41	0	8	0	0	407	25	22	60	0	110	2	0	38	29	0	0	0	1	2	80	45	94	113	84	128	931	3	6941	197	110	133	23	45	167	385	28	1536	48	6	1	0
contig-100_2_4	108	59	57	5	4	0	13	35	35	538	102	24	72	0	473	0	0	1274	210	0	0	14	0	0	180	47	97	354	342	66	124	0	1	77	78	195	60	11	467	103	19	19	54	0	0	0
contig-100_2_5	81	14	32	0	4	0	12	8	1	501	0	16	61	0	4	0	0	15	23	0	0	81	0	42	103	1	6	157	125	63	225	626	210	107	39	223	52	16	112	1222	23	2490	37	97	0	0
contig-100_2_6	54	49	24	0	2	0	0	0	0	387	0	8	13	0	153	0	0	36	56	0	0	88	0	0	139	18	34	372	251	43	34	193	390	38	70	355	72	5	23	1919	95	20	47	0	0	0
contig-100_2_7	495	177	271	69	19	0	66	145	221	3331	0	34	148	0	0	0	0	30	14	1	1	0	0	3	62	9	24	779	1031	7359	91	734	0	1172	322	65	16	0	568	517	8	6599	245	0	0	6
contig-100_2_8	0	0	0	0	2	0	32	0	0	0	0	7	47	0	0	0	0	0	17	0	0	0	0	0	77	1	4	118	113	2	163	0	2651	10	0	90	62	13	109	315	16	168	0	0	0	2
contig-100_2_9	0	222	0	41	0	0	69	80	105	0	0	19	135	0	49	0	0	11	54	0	0	0	0	2	63	4	15	746	796	0	55	3	0	7	9	260	14	29	499	69	9	33	0	0	0	0
contig-100_2_10	0	33	0	0	2	0	53	0	0	0	0	17	108	0	1	0	1	7	37	0	0	0	0	0	70	8	6	181	127	0	45	0	0	8	4	280	37	10	421	181	11	56	0	0	0	0
contig-100_2_11	0	213	0	48	11	0	76	72	133	2	0	30	127	37	326	0	2	2	23	1	0	0	0	0	90	12	24	42	40	8	341	0	0	3	0	214	31	93	102	0	92	68	0	7	8	0
contig-100_2_12	0	61	0	12	5	0	0	17	396	1	66	0	3	0	51	0	0	6	21	0	0	63	0	0	69	11	20	41	38	0	2	0	0	0	1	68	245	60	770	53	13	1	0	0	0	0
contig-100_2_13	0	24	0	0	13	0	18	0	0	0	0	10	50	0	0	0	0	0	0	0	0	17	0	0	137	8	7	132	85	0	66	0	0	0	0	130	0	0	306	4	41	2	0	0	0	0
contig-100_2_14	0	0	0	0	16	1	1	0	0	0	0	0	0	0	0	0	0	0	43	0	0	176	0	0	894	0	0	431	276	2	562	5	0	2	0	72	0	7	1	0	14	31	0	0	0	0
contig-100_2_15	0	14	0	1	5	0	146	8	15	0	0	22	161	0	0	0	0	12	155	0	0	94	0	0	104	4	2	57	57	0	12	2	0	1	2	209	60	242	169	3	17	67	0	0	0	0
contig-100_2_16	0	27	0	0	0	0	95	0	0	0	0	33	140	0	0	0	0	4	32	0	0	96	0	0	568	0	0	158	154	0	142	3	0	0	0	79	49	128	2	71	36	0	0	0	0	0
contig-100_2_17	0	0	0	0	1	0	27	0	0	0	0	15	45	0	0	0	0	3	19	0	0	12	0	0	125	1	2	32	40	0	132	2	0	1	1	83	33	70	102	270	56	10	0	0	0	0
contig-100_2_18	0	0	0	0	0	0	122	0	0	0	0	44	199	0	0	0	0	2	19	0	0	17	0	0	391	0	0	124	144	0	17	1	0	0	0	0	78	218	1	268	51	0	0	0	0	0
