UniqueID	Title	DOI	Year	Journal	ArchiveSystem	Accession	ExpectedCount
1	Disease-specific_Alterations_in_the_Enteric_Virome_in_Inflammatory_Bowel_Disease	10.1016/j.cell.2015.01.002	2016	Cell	SRA	ERP008725	171
2	The_Human_Gut_Virome:_Inter-Individual_Variation_and_Dynamic_Response_to_Diet	10.1101/gr.122705.111	2011	Genome_Research	SRA	SRP002424	18
3	The_Human_Skin_Double-Stranded_DNA_Virome:_Topographical_and_Temporal_Diversity,_Genetic_Enrichment,_and_Dynamic_Associations_with_the_Host_Microbiome	10.1128/mBio.01578-15	2015	mBio	SRA	SRP049645	675
4	Viruses_in_the_faecal_microbiota_of_monozygotic_twins_and_their_mothers	10.1038/nature09199	2010	Nature	SRA	SRP002523	12
5	A_core_gut_microbiome_in_obese_and_lean_twins 	10.1038/nature07540 	2009	Nature	SRA	SRP000319	18
